score_fotometria,score_orbital,score_estelar,score_falsos_positivos
0.9458363,0.57547694,0.9407791,0.7310094
0.8651772,0.6707551,0.88637614,0.7310094
0.9463314,0.8313031,0.9155736,0.7310094
0.75997055,0.6840769,0.9146024,0.7310094
0.27142927,0.80143666,0.40129086,0.5
0.91787505,0.8245636,0.9372096,0.7310094
0.8867747,0.59794676,0.9252322,0.7310094
0.113308564,0.17564055,0.37301242,0.5
0.6085933,0.16729175,0.49006373,0.7310094
0.9476659,0.6995911,0.3856685,0.7310094
0.6507254,0.8148944,0.36579818,0.7310094
0.74845016,0.79982626,0.6642684,0.7310094
0.18548544,0.6782402,0.67135096,0.7310094
0.74253905,0.5937401,0.8979452,0.7310094
0.9179803,0.8236452,0.5768939,0.7310094
0.94439423,0.84767735,0.5705444,0.7310094
0.9032886,0.32237193,0.33726576,0.7310094
0.95638,0.67986333,0.9189452,0.7310094
0.77236414,0.8353914,0.46830297,0.7310094
0.10972404,0.16367026,0.44704166,0.7310094
0.8201931,0.82623297,0.9284954,0.7310094
0.1382846,0.6382304,0.39116278,0.5
0.8813946,0.68363816,0.9580025,0.7310094
0.94576997,0.81285655,0.49516973,0.7310094
0.67909884,0.8361077,0.39931992,0.7310094
0.9493929,0.80865294,0.90582716,0.7310094
0.9543243,0.84779555,0.9214599,0.7310094
0.8262032,0.65882367,0.9203079,0.7310094
0.93016374,0.8389953,0.75753254,0.7310094
0.48459786,0.15090892,0.4615059,0.7310094
0.92669445,0.7939934,0.49453214,0.7310094
0.94949085,0.4503204,0.9350412,0.7310094
0.12932771,0.7264122,0.5297326,0.7310094
0.062312245,0.8265444,0.64654964,0.5
0.9083651,0.80282265,0.9228325,0.7310094
0.2388859,0.12003706,0.40494046,0.5
0.94810206,0.76233804,0.28731465,0.7310094
0.9455846,0.74258405,0.93711054,0.7310094
0.9248785,0.8473585,0.9555801,0.7310094
0.5442522,0.84396154,0.9513476,0.7310094
0.40873685,0.6442375,0.92850953,0.7310094
0.43241262,0.73870647,0.2408861,0.5
0.95741874,0.8351625,0.92042226,0.7310094
0.95843416,0.78493345,0.91820735,0.7310094
0.9489295,0.54318,0.90353006,0.7310094
0.91180104,0.5080078,0.8356669,0.7310094
0.95519286,0.83930933,0.9125701,0.7310094
0.9418631,0.5486011,0.87429225,0.7310094
0.944853,0.7635697,0.89543855,0.7310094
0.9525972,0.81265694,0.90002555,0.7310094
0.6311459,0.67339474,0.28644043,0.5
0.71522725,0.59546447,0.9048245,0.7310094
0.9212025,0.62444055,0.8878707,0.7310094
0.9332284,0.8064476,0.93149674,0.7310094
0.88625854,0.7656029,0.9495254,0.7310094
0.8476496,0.61723655,0.95567584,0.7310094
0.79059917,0.5759738,0.4921906,0.7310094
1.4047572e-08,0.24665682,0.3063157,0.5
0.9356485,0.7101061,0.9001422,0.7310094
0.9354371,0.8257324,0.9093834,0.7310094
0.7229811,0.6090979,0.90773344,0.7310094
0.25730884,0.6028018,0.40677753,0.5
0.22501744,0.8364183,0.5964801,0.7310094
0.7331059,0.37387627,0.9671628,0.7310094
0.9040496,0.7979272,0.9565606,0.7310094
0.22440243,0.6141185,0.94710034,0.7310094
0.68567866,0.81307185,0.34073138,0.7310094
0.5754337,0.82510483,0.43436015,0.5
0.74180275,0.73169476,0.9092873,0.7310094
0.055331595,0.5118211,0.2361646,0.5
0.9542876,0.54984164,0.5537366,0.7310094
0.9638088,0.42842004,0.95424354,0.7310094
0.9130626,0.8245882,0.5546554,0.7310094
0.9327581,0.5313455,0.4290493,0.7310094
0.9404926,0.77310044,0.73107815,0.7310094
0.9451407,0.68863827,0.7294537,0.7310094
0.8976567,0.76368254,0.7285129,0.7310094
0.8306378,0.8173638,0.40781295,0.7310094
0.45261902,0.18347077,0.13702856,0.5
0.9103904,0.16278784,0.9168107,0.7310094
0.9499383,0.18266182,0.42378008,0.7310094
0.6974703,0.82734644,0.4160534,0.7310094
0.9088606,0.13037774,0.781765,0.7310094
0.9056001,0.18290207,0.35526362,0.7310094
0.8261601,0.7487684,0.8346702,0.7310094
0.906573,0.8367115,0.90625346,0.7310094
0.95879996,0.6178301,0.7605346,0.7310094
0.93737286,0.7735996,0.42460522,0.5
0.9574313,0.75664777,0.92090255,0.7310094
0.9549018,0.7638015,0.90957576,0.7310094
0.5532928,0.14109911,0.84277314,0.7310094
0.9381918,0.8098412,0.85337263,0.7310094
0.90580875,0.80342364,0.84451205,0.7310094
0.96782213,0.6144802,0.9759554,0.7310094
0.6195848,0.7368547,0.851104,0.7310094
0.9091717,0.8135273,0.62172955,0.7310094
0.92721105,0.57110703,0.61733145,0.7310094
0.9197376,0.71749264,0.61953956,0.7310094
0.77514875,0.82294995,0.484552,0.7310094
0.64300287,0.8055064,0.3283122,0.7310094
0.30026287,0.5497834,0.44912127,0.7310094
0.94106025,0.80024505,0.526377,0.7310094
0.41464803,0.6103858,0.5247217,0.7310094
0.6234365,0.12770417,0.47404706,0.7310094
0.9242771,0.7029726,0.9049292,0.7310094
0.8594336,0.584967,0.8802201,0.7310094
0.81207335,0.6394651,0.89858884,0.7310094
0.5514718,0.70561194,0.5198669,0.5
0.91386676,0.809652,0.9510872,0.7310094
0.7741671,0.6293322,0.95521104,0.7310094
0.58625627,0.5226711,0.94398,0.7310094
0.940302,0.8320058,0.9176156,0.7310094
0.7386545,0.8530343,0.9184673,0.7310094
0.87388086,0.5955824,0.8877839,0.7310094
0.9592833,0.71584404,0.75951886,0.7310094
0.922061,0.7896647,0.9153011,0.7310094
0.92852557,0.16665901,0.5783586,0.7310094
3.525465e-10,0.8177109,0.4152419,0.5
0.94031674,0.7650173,0.4879919,0.7310094
0.78526664,0.17677522,0.4134685,0.7310094
0.1459362,0.78311706,0.28414592,0.5
0.5769269,0.15924731,0.3253534,0.7310094
0.6810767,0.7308446,0.34928438,0.5
0.7967482,0.13183314,0.91112375,0.5
0.028572824,0.15404887,0.46928698,0.5
0.72528094,0.4966493,0.3426463,0.7310094
0.52780586,0.8154885,0.4457245,0.5
0.91286325,0.19230025,0.95908356,0.7310094
0.012958354,0.16029271,0.46928445,0.5
0.81533533,0.85114986,0.45897585,0.7310094
0.9441975,0.82074076,0.5230693,0.7310094
0.9479498,0.8433367,0.53244346,0.7310094
0.76670307,0.58095485,0.4041273,0.7310094
0.55999184,0.80655,0.47400796,0.7310094
0.8945335,0.7248045,0.7912312,0.5
0.9582481,0.7851738,0.3960605,0.7310094
0.033937305,0.14588515,0.4330074,0.5
0.9589195,0.6666585,0.28704873,0.7310094
0.042703647,0.16707154,0.42809346,0.5
0.89121914,0.80631953,0.8806271,0.7310094
0.90468585,0.57559043,0.9051503,0.7310094
0.8139772,0.55458874,0.72586143,0.7310094
0.8390172,0.5783043,0.906042,0.7310094
0.9603903,0.38925344,0.9038859,0.7310094
0.6532213,0.0747933,0.9006032,0.7310094
0.19925743,0.8102414,0.27238473,0.5
0.9543782,0.7586259,0.9382649,0.7310094
0.9284846,0.6666092,0.94625366,0.7310094
0.8506486,0.72536236,0.9493147,0.7310094
0.9632209,0.8021757,0.89976895,0.7310094
0.9620472,0.72141665,0.89339364,0.7310094
0.9534673,0.73906744,0.88920444,0.7310094
0.95071036,0.647569,0.6765086,0.7310094
0.94400436,0.25618088,0.5502265,0.7310094
0.2459928,0.07494148,0.9148859,0.7310094
0.9403952,0.83944136,0.46713418,0.7310094
0.94975734,0.8156269,0.95016116,0.7310094
0.8956144,0.5739683,0.81380886,0.7310094
0.67155546,0.55939597,0.94520366,0.7310094
0.2835789,0.8072085,0.08015618,0.5
0.106096394,0.63907045,0.90440065,0.7310094
0.13391064,0.5841346,0.8985123,0.7310094
0.63035727,0.5604273,0.8732112,0.7310094
0.9622909,0.68145657,0.92427725,0.7310094
0.852174,0.5846438,0.57591456,0.7310094
0.13125305,0.57610464,0.013059201,0.5
0.13546248,0.17093085,0.017187266,0.5
0.09307117,0.16487208,0.44096613,0.5
0.0010984548,0.7207923,0.018881988,0.50012994
0.35122743,0.16302258,0.163801,0.5
0.22623855,0.30557302,0.04929985,0.5
0.20105214,0.44280016,0.13862075,0.5
0.0014539236,0.22908238,0.0033176849,0.7310094
0.1379536,0.3801147,0.22178951,0.5
0.0038008688,0.7413536,0.0053711976,0.5
0.7440137,0.66213435,0.8207143,0.7310094
0.21991411,0.5701573,0.21601541,0.5
0.7186614,0.5842599,0.27004123,0.5
0.94642544,0.64455086,0.9363881,0.7310094
0.10356609,0.19433172,0.94676214,0.7310094
0.27096787,0.5715061,0.06345274,0.5
0.79073924,0.74105144,0.19970542,0.7310094
0.041375488,0.5142742,0.017179059,0.5
0.76571065,0.5629721,0.12329907,0.5
0.7702717,0.39777392,0.8437422,0.7310094
0.909147,0.4092777,0.85006946,0.7310094
0.24770029,0.11785855,0.39451498,0.7310094
0.6639808,0.3068202,0.25408956,0.5
0.71134424,0.7792911,0.48990798,0.7310094
0.033126716,0.80292064,0.05702107,0.5
0.23927982,0.5804521,0.32556126,0.5
0.91871375,0.39979616,0.04549883,0.5
0.91031545,0.39870885,0.7959313,0.7310094
0.77911514,0.5402041,0.88417196,0.7310094
0.8645364,0.6260666,0.41176042,0.7310094
0.15152912,0.40389785,0.12192594,0.5
0.909879,0.55918324,0.033203382,0.7310094
0.79723173,0.58783156,0.115040705,0.7310094
0.42499295,0.3660677,0.10483999,0.50012994
0.9107023,0.5878861,0.3600044,0.7310094
0.7265321,0.59648585,0.4590287,0.5
0.059519988,0.83040863,0.34389696,0.5
0.30890554,0.43965212,0.11862466,0.5
0.03206363,0.49551147,0.90947765,0.5
0.14550711,0.2870102,0.6106061,0.5
0.1793473,0.12073942,0.050740905,0.5
0.22927524,0.7948467,1.7803102e-05,0.5
0.022541417,0.7900351,0.26884803,0.50012994
0.2868392,0.7721213,2.0383307e-08,0.5
0.14782736,0.41454306,0.06028505,0.5
0.040012874,0.5640245,0.44136792,0.50012994
0.30556768,0.06669362,0.33483422,0.5
0.53551245,0.7702058,0.8160837,0.7310094
0.9322168,0.6898004,0.9302351,0.7310094
0.8859972,0.5277346,0.9212467,0.7310094
0.9007242,0.32672092,0.9272466,0.7310094
0.55338615,0.7363008,0.9282421,0.7310094
0.77621037,0.5770104,0.8273313,0.7310094
0.9536857,0.79291433,0.34925568,0.7310094
0.95642155,0.7584349,0.89597976,0.7310094
0.95184326,0.81341916,0.8817105,0.7310094
0.2257527,0.63855094,0.46020225,0.5
0.9561383,0.6391593,0.91455674,0.7310094
0.4677258,0.5066754,0.4500081,0.5
0.5617738,0.47761792,0.22178979,0.5
0.16171558,0.13047267,0.19768013,0.5
0.16324686,0.17684737,0.013356638,0.5
0.020949913,0.781804,0.4809245,0.5
0.96288687,0.67762774,0.84688205,0.7310094
0.36911172,0.7515205,0.010632839,0.7310094
0.73406565,0.7979027,0.9006204,0.7310094
0.78969723,0.7977549,0.42128173,0.5
0.9233187,0.7888154,0.9270994,0.7310094
0.8218416,0.66034317,0.92332864,0.7310094
0.93639755,0.5985388,0.740896,0.7310094
0.033143323,0.119096704,0.00021656738,0.50012994
0.21407612,0.67653906,0.36206326,0.5
0.35929793,0.5326865,0.014160992,0.7310094
0.8313259,0.56981385,0.021209903,0.5
0.16225313,0.7665367,0.26844615,0.5
0.6463,0.5759188,0.8781208,0.7310094
0.9590196,0.667425,0.39464474,0.7310094
0.9078971,0.64618695,0.16101328,0.5000004
0.9103808,0.6467679,0.892204,0.7310094
0.77032524,0.664362,0.8725633,0.7310094
0.9682114,0.6382699,0.8572368,0.7310094
0.9028365,0.71122724,0.859946,0.7310094
0.9228422,0.77204937,0.92172176,0.7310094
0.46607703,0.66370463,0.91881627,0.7310094
0.25198436,0.8488285,0.26052138,0.7310094
0.95655954,0.26362342,0.097846396,0.5
0.6468134,0.092858426,0.6622817,0.7310094
0.13343836,0.4813224,0.07523631,0.5
0.81076866,0.5717258,0.84237766,0.7310094
0.6891266,0.65513796,0.87128377,0.7310094
0.8292241,0.5379604,0.793066,0.7310094
0.36063084,0.5037848,0.8684895,0.7310094
0.3814732,0.6121705,0.16916059,0.5
0.006568246,0.73917335,0.32412815,0.5
0.0071143014,0.1216338,0.88971776,0.5
0.12549044,0.1767978,0.08020541,0.5
0.16135137,0.113438495,0.06357761,0.5
0.17153163,0.65884656,0.41929707,0.5
0.9301569,0.79026765,0.9119913,0.7310094
0.23990093,0.453219,0.0088106925,0.5000004
0.3961019,0.57287353,0.68231463,0.7310094
0.7711911,0.57162297,0.7590487,0.7310094
0.9652615,0.610425,0.85490286,0.7310094
0.59088016,0.79836214,0.9494862,0.7310094
0.00037415605,0.62917376,0.009617461,0.7310094
0.8868704,0.64199406,0.92116565,0.7310094
0.94604325,0.60293275,0.9495995,0.7310094
0.8229601,0.7110553,0.43286872,0.7310094
0.6986875,0.5368785,0.8621323,0.7310094
0.57436526,0.66434705,0.05210183,0.5
0.94119656,0.734158,0.34242654,0.7310094
0.51089543,0.67304474,0.098493226,0.5
2.2421432e-07,0.060019415,0.23719144,0.5
0.04188171,0.10921175,0.023387063,0.5
0.1628351,0.15235908,0.008374931,0.5
0.959852,0.306269,0.9230264,0.7310094
0.5429061,0.5350521,0.4261289,0.5
0.05466592,0.6260506,0.95218164,0.5
0.9424467,0.6604779,0.38856736,0.7310094
0.15079492,0.10932931,0.09910355,0.5
0.23760603,0.5660805,0.30959386,0.5
0.20703493,0.41671765,0.4364374,0.5
0.18038951,0.7698109,0.03141062,0.5
0.59518987,0.64986324,0.95676875,0.7310094
0.46925622,0.57816017,0.45251197,0.7310094
0.16767071,0.7331979,0.5050083,0.5
0.12950917,0.7627806,0.5047729,0.5
0.1565272,0.5990242,0.23232271,0.7310094
0.3831528,0.30468524,0.70719945,0.5
0.19987173,0.23791249,0.33510247,0.5
0.022834565,0.034440488,0.93397224,0.5
0.5372133,0.42906058,0.11301907,0.5
0.91476536,0.58690894,0.95539457,0.7310094
0.5589078,0.55937696,0.4227695,0.7310094
0.9416449,0.38987717,0.6279714,0.7310094
0.5813372,0.5808563,0.43051565,0.7310094
0.055980917,0.11445894,0.28888598,0.5
0.38455805,0.4067215,0.10029556,0.5
0.63606304,0.59311426,0.88057405,0.5
0.2533592,0.45608285,0.045247965,0.5
0.8736233,0.6512406,0.89957434,0.7310094
0.88341254,0.5647942,0.8903359,0.7310094
0.8283897,0.6401217,0.90109944,0.7310094
0.013536967,0.078268304,0.93587375,0.5
0.9416687,0.72052914,0.9509416,0.7310094
0.56781363,0.75197357,0.95202917,0.7310094
0.7795385,0.5478851,0.051905107,0.5
0.9508228,0.7937881,0.6411659,0.7310094
0.7946872,0.6494064,0.9364683,0.7310094
0.9445232,0.65519017,0.927859,0.7310094
0.9453142,0.57741606,0.918882,0.7310094
0.085756615,0.4938695,0.3642082,0.5
0.95396984,0.2554025,0.92931294,0.7310094
0.11713144,0.74334365,0.53358346,0.5
4.1962792e-07,0.013930856,6.670605e-06,0.5
0.19828302,0.41285244,0.04605024,0.5
8.474887e-07,0.048089337,0.030046383,0.5
0.7663231,0.68798447,0.9473347,0.7310094
0.11809733,0.652017,0.94847596,0.7310094
0.90751487,0.5903454,0.43046725,0.7310094
0.9559126,0.65050256,0.59109265,0.7310094
0.7734772,0.5799215,0.6370714,0.7310094
0.8775202,0.58102477,0.91709507,0.7310094
0.6931859,0.5373477,0.72572297,0.5
0.9517029,0.5961696,0.22980581,0.5
0.9649275,0.8339781,0.45563245,0.7310094
0.84986424,0.54513633,0.13768113,0.5
0.8355327,0.6493359,0.95603263,0.7310094
0.57281125,0.79600453,0.19060136,0.5
0.9405859,0.56248915,0.27154574,0.7310094
0.4806672,0.111223266,0.03193529,0.5
0.17045869,0.68093294,0.3684818,0.50012994
0.13466854,0.5392671,0.42878976,0.5
0.5818763,0.5849732,0.21156935,0.5
0.18582557,0.111028954,0.008015656,0.5
0.8391796,0.6026627,0.8802333,0.7310094
0.907893,0.58067656,0.29100868,0.7310094
0.117887184,0.6041512,0.44301412,0.5
0.945981,0.7041329,0.38888222,0.7310094
0.9422367,0.13622558,0.19637032,0.5
0.81754756,0.77842844,0.34413213,0.7310094
0.7292667,0.8460415,0.37573975,0.7310094
